Angle	Intensity
42.671	1.54E-02
42.688	2.83E-02
42.705	1.19E-02
42.722	2.04E-02
42.739	1.57E-02
42.756	3.51E-02
42.773	1.43E-02
42.79	1.76E-02
42.807	1.65E-02
42.824	1.47E-02
42.841	1.29E-02
42.858	3.74E-02
42.875	2.09E-02
42.892	6.68E-03
42.909	7.03E-03
42.926	1.61E-02
42.943	2.60E-02
42.96	2.70E-02
42.977	6.15E-03
42.994	6.48E-03
43.011	1.92E-02
43.028	3.05E-02
43.045	1.83E-02
43.062	1.06E-02
43.079	7.96E-03
43.096	1.12E-02
43.113	1.51E-02
43.13	1.32E-02
43.147	1.12E-02
43.164	7.85E-03
43.181	1.69E-02
43.198	2.15E-02
43.215	1.52E-02
43.232	1.91E-02
43.249	2.37E-02
43.266	1.51E-02
43.283	2.05E-02
43.3	2.66E-02
43.317	1.43E-02
43.334	1.23E-02
43.351	8.90E-03
43.368	2.01E-02
43.385	2.61E-02
43.402	1.97E-02
43.419	1.92E-02
43.436	1.35E-02
43.453	4.91E-03
43.47	7.28E-03
43.487	6.00E-03
43.504	2.37E-02
43.521	1.07E-02
43.538	2.33E-02
43.555	1.76E-02
43.572	3.11E-03
43.589	2.23E-02
43.606	1.15E-02
43.623	1.08E-02
43.64	2.63E-02
43.657	1.91E-02
43.674	1.12E-02
43.691	8.42E-03
43.708	1.22E-02
43.725	1.01E-02
43.742	1.46E-02
43.759	3.23E-02
43.776	-2.74E-03
43.793	1.86E-02
43.81	2.89E-02
43.827	2.24E-02
43.844	1.67E-02
43.861	1.24E-02
43.878	-7.33E-04
43.895	-6.56E-04
43.912	2.79E-02
43.929	1.12E-02
43.946	6.16E-03
43.963	2.96E-02
43.98	2.60E-02
43.997	2.61E-02
44.014	1.44E-02
44.031	1.59E-02
44.048	6.39E-04
44.065	-3.84E-05
44.082	2.12E-02
44.099	2.12E-02
44.116	7.38E-03
44.133	1.11E-02
44.15	9.64E-03
44.167	1.11E-02
44.184	8.97E-03
44.201	1.05E-02
44.218	9.01E-03
44.235	5.37E-03
44.252	1.56E-02
44.269	1.34E-02
44.286	-1.92E-03
44.303	8.33E-03
44.32	2.00E-02
44.337	1.20E-02
44.354	1.42E-02
44.371	1.05E-02
44.388	1.13E-02
44.405	1.35E-02
44.422	2.30E-02
44.439	1.05E-02
44.456	1.49E-02
44.473	9.82E-03
44.49	2.23E-02
44.507	2.23E-02
44.524	6.89E-03
44.541	6.16E-03
44.558	1.27E-02
44.575	9.82E-03
44.592	3.97E-03
44.609	-1.15E-03
44.626	1.71E-02
44.643	1.35E-02
44.66	8.36E-03
44.677	8.36E-03
44.694	-4.14E-04
44.711	-4.07E-03
44.728	1.42E-02
44.745	1.71E-02
44.762	1.64E-02
44.779	1.20E-02
44.796	2.37E-02
44.813	-3.33E-03
44.83	9.10E-03
44.847	1.13E-02
44.864	1.06E-02
44.881	2.59E-02
44.898	2.53E-03
44.915	1.20E-02
44.932	2.01E-02
44.949	2.74E-02
44.966	2.45E-02
44.983	3.03E-02
45	2.08E-02
45.017	1.13E-02
45.034	6.20E-03
45.051	1.79E-02
45.068	1.13E-02
45.085	1.21E-02
45.102	1.57E-02
45.119	1.06E-02
45.136	6.94E-03
45.153	6.21E-03
45.17	1.13E-02
45.187	1.94E-02
45.204	5.49E-03
45.221	9.88E-03
45.238	1.79E-02
45.255	1.57E-02
45.272	1.65E-02
45.289	1.57E-02
45.306	1.43E-02
45.323	2.01E-02
45.34	1.21E-02
45.357	1.36E-02
45.374	1.50E-02
45.391	4.79E-03
45.408	9.18E-03
45.425	8.45E-03
45.442	1.21E-02
45.459	8.46E-03
45.476	-1.05E-03
45.493	1.88E-03
45.51	4.08E-03
45.527	-4.69E-03
45.544	1.94E-02
45.561	2.63E-03
45.578	-3.95E-03
45.595	1.90E-03
45.612	8.49E-03
45.629	1.95E-02
45.646	-4.67E-03
45.663	9.96E-03
45.68	1.66E-02
45.697	1.22E-02
45.714	-5.38E-03
45.731	-9.92E-04
45.748	4.86E-03
45.765	1.58E-02
45.782	-5.37E-03
45.799	9.26E-03
45.816	7.81E-03
45.833	1.96E-03
45.85	4.16E-03
45.867	1.00E-02
45.884	1.29E-02
45.901	4.17E-03
45.918	7.10E-03
45.935	1.59E-02
45.952	1.08E-02
45.969	1.08E-02
45.986	1.15E-02
46.003	7.12E-03
46.02	5.67E-03
46.037	6.40E-03
46.054	7.87E-03
46.071	1.08E-02
46.088	8.61E-03
46.105	9.35E-03
46.122	1.37E-02
46.139	1.08E-02
46.156	6.44E-03
46.173	6.44E-03
46.19	5.72E-03
46.207	9.38E-03
46.224	1.38E-02
46.241	2.47E-02
46.258	1.82E-02
46.275	1.09E-02
46.292	-1.57E-03
46.309	5.75E-03
46.326	1.82E-02
